epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.792,0,0,59.7296,0,0,0,0,0,0,0,0,0,0,0,70.9645,0,0.000325581,0.000325581,0.000325581
2,348.948,0,0,51.9042,0,0,0,0,0,0,0,0,0,0,0,56.8237,0,0.000645868,0.000645868,0.000645868
3,523.449,0,0,47.6273,0,0,0,0,0,0,0,0,0,0,0,53.2746,0,0.000952955,0.000952955,0.000952955
4,698.609,0,0,44.3544,0,0,0,0,0,0,0,0,0,0,0,50.2634,0,0.0009406,0.0009406,0.0009406
5,874.361,0,0,41.2068,0,0,0,0,0,0,0,0,0,0,0,47.2859,0,0.0009208,0.0009208,0.0009208
6,1050.69,0,0,38.3709,0,0,0,0,0,0,0,0,0,0,0,43.6533,0,0.000901,0.000901,0.000901
7,1225.66,0,0,35.717,0,0,0,0,0,0,0,0,0,0,0,41.0931,0,0.0008812,0.0008812,0.0008812
8,1401.79,0,0,33.1327,0,0,0,0,0,0,0,0,0,0,0,39.1499,0,0.0008614,0.0008614,0.0008614
9,1608.72,0,0,30.5825,0,0,0,0,0,0,0,0,0,0,0,35.774,0,0.0008416,0.0008416,0.0008416
10,1812.41,0,0,28.2079,0,0,0,0,0,0,0,0,0,0,0,33.5722,0,0.0008218,0.0008218,0.0008218
11,2022.12,0,0,26.0278,0,0,0,0,0,0,0,0,0,0,0,31.7316,0,0.000802,0.000802,0.000802
12,2228.37,0,0,23.9561,0,0,0,0,0,0,0,0,0,0,0,28.7217,0,0.0007822,0.0007822,0.0007822
13,2410.12,0,0,22.0163,0,0,0,0,0,0,0,0,0,0,0,26.4686,0,0.0007624,0.0007624,0.0007624
14,2592.4,0,0,20.2371,0,0,0,0,0,0,0,0,0,0,0,24.1408,0,0.0007426,0.0007426,0.0007426
